Category,Event Name,City,State,Attendance,Exhibitors,Date,Description
Retail & Wholesale,"Treasures of the Earth Gem, Mineral & Jewelry Show",Virginia Beach,Virginia,-,-,Oct 9 - Oct 11,"This show has something for everyone! Vendors from across the United States bring their merchandise to you. Their items include
? 14K and sterling silver, classic, estate, fashion and handmade jewelry
? Loose stones, beads and beading supplies, pearls, art jewelry
? Crystals, mineral specimens, fossils
? Wide selection of custom-faceted gemstones
? Display of Virginia rocks and minerals, lapidary arts demonstrations and geode cutting by the two Gem and Mineral societies of the area
? Gemologist available for on-site appraisals

Friday Noon-6pm, Saturday & Sunday 10am-5pm

Adults $6.00, 16 and under free

For admission discount coupon, visit www.TreasuresOfTheEarth.com"
Food & Hospitality,Dungeness Crab & Seafood Festival 2020,Port Angeles,Washington,-,-,Oct 9 - Oct 11,Food & Beverage Show
"Agriculture, Flower & Garden",Pomona Fall Home Show,Pomona,California,-,-,Oct 9 - Oct 11,Flower & Garden Show
RV & Motor Show,Overland Expo East,Arrington,Virginia,-,-,Oct 9 - Oct 11,RV Show
State Fair,"Sugarloaf Crafts Festival Fall '20 Timonium, MD",Timonium,Maryland,-,-,Oct 9 - Oct 11,"Enjoy autumn and treat yourself to an enriching experience at Sugarloaf Crafts Festivals in Timonium. The first fall show will be at the Maryland State Fairgrounds from Friday, October 9 through Sunday, October 11th. Come out and say hello to your favorite artists and meet artists new to the Sugarloaf Community. They can?t wait to see you and show you their new and creative designs!

Sugarloaf Craft Festivals are a delightful immersion in the work of carefully selected artisans who have spent years perfecting their crafts. Goods sold here embody both beauty and utility and can be expected to last for a very long time. You?ll find whimsical and functional designs made out of wood, stone, metal, fabric, clay and more.

If Sugarloaf had a theme song it could be ?Made to Last? since many items are durable enough to last a lifetime and maybe even be passed down to the next generation. Many artists repurpose used material into useful kitchen tools or household items. Purchases here support sustainable production and provide the recipient with a quality instrument or home decor piece.

Plan your holiday parties while sampling the array of rich creamy cheeses, small batch jams and zesty spice and dressing mixes from the specialty food vendors. Our gourmet food vendors invite you to sample the different flavors and take home your favorites.

As always there will be several ongoing craft demonstrations going on throughout the festival. Watch the artists transform raw materials into beautiful artwork and functional tools in a matter of minutes. Middle Earth Studios invites children of all ages to join their costumed productions."
"Bike, Car & Motorcycle",Roar to the Shore 2020,Wildwood,New Jersey,-,-,Oct 10 - Oct 13,"This one of a kind motorcycle rally, held in Wildwood, NJ and will cover every square inch of town and the best thing is Roar to the Shore remains a FREE rally. Enjoy 4 days of Motorcycles, Music, Rides Bike Shows, Food & Drink, Beer Gardens, Tons of Vendors (on five separate lots) and more. You can also take advantage of the scenic back road rides Cape May County has to offer.  "
Food & Hospitality,Choctoberfest 2020,Aurora,Colorado,-,-,Oct 10 - Oct 12,Food & Beverage Show
Animal & Pets,Grand National & World Championship Morgan Horse Show,Oklahoma City,Oklahoma,-,-,Oct 10 - Oct 17,Horse & Pet Show
Air & Water Shows,Culpeper Air Fest 2020,Culpeper,Virginia,-,-,Oct 10 - Oct 10,Air Show
Air & Water Shows,2020 Edwards AFB - Aerospace Valley Air Show,Edwards AFB,California,-,-,Oct 10 - Oct 11,Air Show
Food & Hospitality,2020 Vendemmia Da Vinci Wine and Food Festival,Wilmington,Delaware,-,-,Oct 11 - Oct 11,Food & Beverage Show
RV & Motor Show,Jacksonville Fall RV Show,Jacksonville,Florida,-,-,Oct 11 - Oct 14,RV Show
Food & Hospitality,Lobster Festival & Tournament,Panama City Beach,Florida,-,-,Oct 12 - Oct 18,Food & Beverage Show
"Bike, Car & Motorcycle",Biketoberfest Daytona Beach 2020,Daytona Beach,Florida,-,-,Oct 15 - Oct 18,"Biketoberfest? celebrates a full-throttle lifestyle born on two wheels. More than 125,000 motorcycle enthusiasts come together each year to enjoy beautiful Florida weather, live music, motorcycle racing at Daytona International Speedway, and miles of scenic rides along famous A1A, historic Main Street or the scenic Loop during this four-day rally. Come experience the Southeast?s best motorcycle rally featuring motorcycle shows, custom bike builds and hundreds of the industry?s top vendors throughout Daytona Beach. All roads lead to this rally. Biketoberfest.org is your official source for information."
"Literary, Books & Writers",Bouchercon 2020,Sacramento,California,-,-,Oct 15 - Oct 18,Book Show
"Literary, Books & Writers",2020 Florida Writers Association Annual Conference,Orlando,Florida,-,-,Oct 15 - Oct 18,Book Show
Food & Hospitality,2020 Sarasota Oktoberfest,Sarasota,Florida,-,-,Oct 16 - Oct 18,Food & Beverage Show
Air & Water Shows,NAS Pensacola Open House - Blue Angels Homecoming Air Show,Pensacola,Florida,-,-,Oct 16 - Oct 17,Air Show
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Fall Chantilly, VA",Chantilly,Virginia,-,-,Oct 16 - Oct 18,"Don?t miss our newest festival in Chantilly, VA this October. This is your opportunity to get an early start on your holiday shopping and  find special treasures unlike anything you?ll see in stores! Bring your list...there?s something for everyone on it!

A visit to a Sugarloaf Crafts Festival is a feast for the artistic spirit where you can admire the innovative creations of over 300 carefully curated artists. There are gifts for every age group and every interest so  you?re sure to find something that speaks directly to you and fits your budget.

The artists enjoy the opportunity for face to face conversations with customers to share the stories and inspiration behind their work. Our crafters come from the mid-Atlantic region, the northeast and other parts of the United States. They love hearing about your travel experiences and may even have some useful travel tips for when you?re visiting their area. This sense of community between the artists and shoppers is part of what makes the Sugarloaf Experience so special.

Several artists will be providing live demonstrations of their work throughout the festival. Take advantage of this chance to see artists in several mediums at work. See how they turn raw materials of wood, glass and straw into a top quality finished products ready to beautify your home or that of a loved one. When not perusing the crafts or watching a live demo, there is soothing handpan music by Janet Spahr and children?s entertainment by Middle Earth Studios.

Each ticket gives you entry for the entire weekend. Ample free parking and food on site means you can make a day of it! Buy your ticket online and save. For larger groups, inquire about special discounts. More details on specific artists, musicians, area hotels and directions can be found above."
Boat Show,56th Head Of The Charles Regatta,Brighton,Massachusetts,-,-,Oct 17 - Oct 18,"Event Overview: Since its inception in 1965, The Head Of The Charles? Regatta has attracted hundreds of thousands of rowers to the banks of the Charles River. Come October, the tradition continues. It?s important for athletes and spectators alike to make sure they have all the proper information to navigate our event-filled weekend. Charity Program Since its inception in 1998, the Charity Program has worked to generate over $1,000,000 for a number of worthy causes. Participation in the Charity Program is open to single scullers, doubles, fours and eights. In the past, the Regatta has joined competitors in their fundraising efforts by matching contributions dollar for dollar. They have also made separate sizable contributions to each charity. Reunion Village Whether you're a competitor looking to chow down, or a spectator in search of unparalleled views, the Village is a great place to take in all the action. Rowing & Fitness Expo Make your way toward the finish line and check out a variety of products and merchandise from our partners. The Rowing & Fitness Expo is the retail destination of the Head Of The Charles Regatta. Located in the heart of the athlete staging area near the finish line the Expo boasts over 70+ vendors including rowing equipment, boat manufactures, food vendors and corporate display and sales. Weld Exhibition Located near Harvard?s Weld Boathouse between the Weeks and Lars Anderson Bridges, the Weld Exhibition is one of the Regatta?s liveliest sites. Official Head Of The Charles? sponsors line the banks, offering delicious local flavors and free samples. Purchase your official Regatta Programs and Merchandise and check out up-to-date race results. The Weld Exhibition also boasts one of the race?s most exciting viewing sites - it?s the perfect place to enjoy the Regatta. Find a spot along the banks and cheer your favorite crew through the race?s halfway mark. Exhibitor Information: The Head Of The Charles? Regatta invites friends and family of the rowing community to join us at the Rowing and Fitness Expo.  The Expo, located in the midst of the Finish Area Launch Site (FALS) offers vendors access to athletes, coaches and spectators at the world?s largest rowing event. Located at Christian Herter Park in Allston, MA the Expo includes fifty vendor booths and boat builder tents. About HOCR: Since its origin in 1965, the Head Of The Charles? Regatta has welcomed the world?s best crew teams to the banks of the Charles River for the ultimate two-day rowing competition. Preparing for an event that attracts over 11,000 athletes and tens of thousands of spectators requires a great deal of preparation. The HOCR consists of a 15 member Board of Directors, six of which are in charge of race management and overseeing a nine-member race committee (including two race co-chairs). The race committee meets year-round to discuss the operational and logistical details of the event. They are assisted by 115 leading volunteers on 30 separate committees that begin meeting weekly in the fall. A full-time, professional staff of six, headquartered in the Cambridge Boat Club, works year-round to plan the event, obtain sponsorship and communicate with the rowing community. "
"Art, Craft & Collectibles",Half Moon Bay Art & Pumpkin Festival,Half Moon Bay,California,-,-,Oct 17 - Oct 18,Food & Beverage Show
Animal & Pets,Best Of Texas Ranch Rodeo,New York,New York,-,-,Oct 17 - Oct 17,Horse & Pet Show
Animal & Pets,Best Of Texas Ranch Rodeo,Bryan,Texas,-,-,Oct 17 - Oct 17,Horse & Pet Show
Food & Hospitality,Wellfleet Oysterfest,Wellfleet,Massachusetts,-,-,Oct 17 - Oct 18,Food & Beverage Show
"Agriculture, Flower & Garden",San Jose Fall Home Show 2016,San Jose,California,-,-,Oct 17 - Oct 18,"Event Overview: The Home Show is an event designed for homeowners in all stages of remodeling, landscaping and decorating their homes. Each event includes hundreds of home improvement and landscaping exhibits with product demonstrations and sample interior and exterior vignettes. With a combination of new products and expert advice from the pros, the Home Show inspires homeowners with countless ideas on enhancing their home's comfort and functionality, as well as its aesthetic appeal and overall value.

Attendee Information:

Who should attend?

Whether you are a new homeowner, or someone who has lived in your home for years, anyone with an interest in updating, enhancing, or creating a new look or amenity for their home will enjoy the Home Show.

Why should you attend?

Shop, compare and save. Ask exhibitors for show specials

Save time by meeting hundreds of companies under one roof

Discover new and interesting products and services for your home

Get inspired and excited about your home and the countless possibilities

Find the best resources in home improvement, landscaping, and design services

Meet face to face with home improvement professionals

Get expert advice and tips

Be wowed by the possibilities

Exhibitor Information:

Home remodeling is on an upswing and is expected to see continual growth in the coming years as consumers focus on increasing their homes value and baby boomers enter their peak earning years. Money will be spent on kitchens, bathrooms, home offices, expanded living spaces, exterior replacements and landscaping, as well as growing investments in energy efficient products and services. Capture your fair share!

The Home Show consistently attracts a large, qualified audience, ready to buy and eager to learn about the latest products and services for their homes. Our extensive experience with consumer shows enables us to deliver a highly qualified audience directly to your booth at each of our Home Shows.

Who should participate in the Home Show?

The Home Show is the perfect marketing vehicle if you sell any product or service that relates to remodeling, landscaping, decorating or design.

Why exhibit?

Build relationships, sell, and generate leads from thousands of qualified buyers

Demonstrate the latest products and services to a motivated, targeted audience who can see, touch and buy your product on the spot

Create and build brand awareness

Who will I reach?

Reach homeowners in some of the most affluent markets in the country. We target affluent consumers with purchasing power by utilizing a marketing campaign perfected over 31 years.

About ACS

The American Consumer Shows group of companies (ACS) are the largest producers of Home Shows in the United States. ACS provides exhibitors the opportunity to showcase their products and services, and to meet face to face with qualified homeowners, reaching those who are eager to learn and ready to buy. Consumers who attend the shows discover new products and trends across all categories of home improvement.

-"
RV & Motor Show,Midwest RV Super Show,Elkhart,Indiana,-,-,Oct 17 - Oct 20,RV Show
"Literary, Books & Writers",Apple Valley Airshow 2020,Apple Valley,California,-,-,Oct 17 - Oct 17,"EVENT OVERVIEW:

The One, The Only!

A dozen West Michigan RV dealers representing more than 100 RV lines combined with 200,000+ square feet results in the biggest RV Show in the state - The Grand Rapids Camper, Travel & RV Show.  Along with new RV's, we have a remarkable selection of RV accessories, campgrounds and travel destinations!

EXHIBITOR INFORMATION:

Book Grand Rapids First!

A centrally located city for many camping families, DeVos Place in downtown Grand Rapids is the perfect host for this show. Attendees are serious about their RV travel - you don't want to miss out on this market!"
Air & Water Shows,Central Coast AirFest 2020,Santa Maria,California,-,-,Oct 17 - Oct 18,Air Show
RV & Motor Show,Toronto Fall RV Show and Sale,Toronto,Ontario,-,-,Oct 18 - Oct 20,RV Show
Food & Hospitality,2020 Cedar Key Seafood Festival,Cedar Key,Florida,-,-,Oct 19 - Oct 20,Food & Beverage Show
Air & Water Shows,Sunbelt Ag Expo 2020,Moultrie,Georgia,"75,000","1,200",Oct 20 - Oct 22,"Event Overview: The Annual Sunbelt Agricultural Exposition explodes with 3 days of non-stop action unveiling new technology in agriculture and rural living. Over 1,200 exhibitors will display and demonstrate products and welcome thousands of visitors to the 100 acre show site. Crowned as North America?s Premier Farm Show? and the largest Farm Show in America with field demonstrations, the Sunbelt Ag Expo brings together all segments of rural living from research and education to the live farm harvest and agribusiness. Add in rural lifestyle fun, truck, tractor, and ATV test drives and sports and the venue is perfect for rural enthusiasts.

A highlight of the 3-day show will be the announcement of the Swisher Sweet/Sunbelt Expo Southeastern Farmer of the Year Award as 10 state winners vie for the prestigious title. The winner will be named during the Annual Willie Withers Expo luncheon when agricultural leaders across the South convene to honor the winners.

A crowd-pleaser is the 600 acre research farm?s field demonstrations as farmers watch tractors, combines, peanut pickers, cotton pickers, hay equipment and Global Positioning Systems working side by side. Over 300 seminars are taught at exhibits on beef, dairy, backyard gardening, poultry, forestry, pond management, equine, dairy and cattle management.

There?s never a dull moment during the 3-day show rolling out the daily Antique Tractor Parade, the American Grand Finals Stock Dog Trials, Equine demonstrations, and even a Milking Contest between State Agriculture Commissioners.

Exhibitor Information:

The Sunbelt Expo has established itself as a must-attend event for anyone in agriculture.  Static exhibits, a working farm, equipment demos, driving ranges and educational opportunities combine to make Expo the most comprehensive farm show in the Southeastern United States.  Over 1,200 companies exhibit in this one-stop agricultural marketplace each year and 75% of these companies are repeat exhibitors.

-"
"Bike, Car & Motorcycle",20th Annual Thunder Beach Autumn Rally 2020,Panama City Beach,Florida,-,-,Oct 21 - Oct 25,"Save the dates and don't miss the Most Biker-Friendly FREE Rally in the USA as you ride the ?World?s Most Beautiful Beaches?. ?Enjoy True Southern Hospitality? at a 5-day motorcycle rally in Panama City Beach, Florida.

Multiple venues, with hundreds of vendors, including many of the MC industry?s biggest names! Enjoy the Thunder Beach FREE Concert Series, with National Entertainment!"
"Art, Craft & Collectibles",Martha?s Vineyard Food & Wine Festival,Edgartown,Massachusetts,-,-,Oct 21 - Oct 25,Food & Beverage Show
Food & Hospitality,Circleville Pumpkin Show 2020,Circleville,Ohio,-,-,Oct 21 - Oct 24,Food & Beverage Show
Food & Hospitality,2020 South Beach Seafood Week & Festival,Miami Beach,Florida,-,-,Oct 21 - Oct 24,Food & Beverage Show
"Literary, Books & Writers",Dodge Poetry Festival 2020,Newark,New Jersey,-,-,Oct 22 - Oct 25,Book Show
Food & Hospitality,New York Wine Experience,New York,New York,-,-,Oct 22 - Oct 24,Food & Beverage Show
Food & Hospitality,The State Fair Of Louisiana 2020,Shreveport,Louisiana,-,-,Oct 22 - Nov 8,Food & Beverage Show
Food & Hospitality,Tacoma Holiday Food & Gift Festival,Tacoma,Washington,30000,550,Oct 22 - Oct 25,"Every year we travel the Northwest to find unique and interesting products for the show. With over 550 booths we are the largest show of this kind on the west coast. Visit the Show Preview to see some of the products represented at the show.

The Entertainment Program is located in the main entrance of the Tacoma Dome. Special performances by Rainier Ringers, Windsong Classical Trio, RainTones, Sonoro Woman?s Choir and Pianist Ken Young.

Tacoma?s Cooking for the Holidays program is sponsored by Bates Technical College. Come learn new cooking techniques and ask the chefs directly about their culinary secrets. You will find many of the leading chef?s in the South Sound."
Local Shows & Fairs,Fantasy Fest 2020,Key West,Florida,-,-,Oct 23 - Nov 1,"Fantasy Fest is an annual 10-day party in paradise for grown-ups. Started in 1979 by a small group of Key West locals, the party was created to bring visitors to the island in what was a typically quiet, but beautiful season. It worked. Fantasy Fest has grown every year since its inception and is now the wildest extravaganza around! Fun-loving revelers from around the globe bring their creativity and imaginations as they descend upon Key West each year in October for 10 days filled with costuming, parades, libations, and excitement!"
"Art, Craft & Collectibles",26th Harvest Festival Original Art & Craft Show - Pleasanton 2020,Pleasanton,California,"11,000",205,Oct 23 - Oct 25,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com

Venue:

http://www.alamedacountyfair.com/"
"Agriculture, Flower & Garden",Lodi Fall Home Improvement Show,Lodi,California,-,-,Oct 23 - Oct 25,Flower & Garden Show
"Art, Craft & Collectibles",Slidell Historical Street Fair 2020,Slidell,Louisiana,-,-,Oct 24 - Oct 25,Antique & Coin Show
Food & Hospitality,Whiskies of the World,Atlanta,Georgia,800,200,Oct 24 - Oct 24,"Experience the world of whisky like you?ve never seen it before. As one of the largest whisky tasting events in the US, Whiskies of the World gathers over 200 of the most fascinating distilled spirits from around the globe, along with their makers and ambassadors, to give guests an unforgettable evening. The Expo will provide whisky tastings, whisky and food pairings, whisky and cigar pairings, and the chance to interact with outstanding whisky brands as well as fellow whisky enthusiasts."
Food & Hospitality,Fredericksburg Food & Wine Fest,Fredericksburg,Texas,-,-,Oct 24 - Oct 24,Food & Beverage Show
Food & Hospitality,2020 Boston Veg Food Fest,Boston,Massachusetts,-,-,Oct 24 - Oct 25,Food & Beverage Show
Food & Hospitality,Lexington Barbecue Festival,Lexington,North Carolina,-,-,Oct 24 - Oct 24,Food & Beverage Show
RV & Motor Show,Panhandle RV Show,Walton Beach,Florida,-,-,Oct 24 - Oct 27,RV Show
"Literary, Books & Writers",2020 New Atlantic Independent Booksellers Association Fall Conference,Baltimore,Maryland,-,-,Oct 25 - Oct 27,Book Show
RV & Motor Show,Tiny House Fest Vermont,Warren,Vermont,-,-,Oct 27 - Oct 27,RV Show
Boat Show,Fort Lauderdale International Boat Show 2020,Fort Lauderdale,Florida,-,-,Oct 28 - Nov 1,"Fort Lauderdale, Florida, the ""Yachting Capital of the World"" will host the 61st annual Fort Lauderdale International Boat Show on October 28 - Nov 1, 2020.

Every year, the show exhibits a vast array of the industry's latest boats and yachts of all sizes, worldwide debuts, plus a medley of marine products and accessories to enhance the nautical lifestyle. From yacht builders and designers to exotic cars and brokerage yachts, this show has something for everyone!"
"Literary, Books & Writers",44th Boston International Antiquarian Book Fair 2020,Boston,Massachusetts,-,-,Oct 30 - Nov 1,Book Show
"Literary, Books & Writers",2020 Boston Book Print and Ephemera Fair - 10th edition,Boston,Maryland,-,-,Oct 31 - Oct 31,Book Show
Health & Fitness,Legion Fitness Expo 2020,Long Beach,California,-,-,Oct 31 - Nov 1,Fitness Show
Air & Water Shows,Orlando Sanford Air Show,Sanford,Florida,-,-,Oct 31 - Nov 1,Air Show
"Literary, Books & Writers",Baltimore Book Festival 2020,Baltimore,Maryland,-,-,Nov 1 - Nov 6,Book Show
Animal & Pets,Florida Seafood Festival 2020,Apalachicola,Florida,-,-,Nov 1 - Nov 2,"Event Overview:

The Florida Seafood Festival is a two day event annually drawing tens of thousands of visitors to the historic town of Apalachicola in scenic Franklin County. The Festival is held at the mouth of the Apalachicola river under the shady oaks of Apalachicola?s Battery Park. The festival features delicious seafood, arts and crafts exhibits, seafood related events, Musical Entertainment. Some of the notable events include Oyster Eating and Oyster Shucking contest, Blue Crab Races, Photo Contest, Parade, 5k Redfish Run, The Blessing of the Fleet, History of the Festival Exhibit and Tonging For Treasure.

Maritime Exhibit Area
The Florida Seafood Festival has completely reworked the existing Maritime Events. To the new Maritime Exhibits Area and moved it to near the small stage and Large chair. This year the Festival has invited Marine labs and Exhibits that are hands on and educational for all ages. Learn about the ecosystem that makes Apalachicola bay so special. Also Meet local wildlife up close. Learn about how the Hardworking Fisherman of this community earn their living by demonstrations and educational exhibits. Certainly fun for the entire Family.

Arts and Crafts Exhibits
The Festival has up as many as 90 arts and crafts booth that attend each year with everything having to be hand made in someway. The booths take up the largest portion of the park as the booths are lined up in the beautiful Battery Park.

Fresh Florida Seafood
The Food Row area of the Festival is something of a seafood lovers paradise from Fresh Oysters on the Half shell to Smoked Mullet and Everything in between if it is caught in our local waters you can find it here. All the seafood is sold by local Not for Profit groups to benefit their organization they include churches, schools and civic organizations. Caught Fresh, Served Fresh. The Festival has also other non seafood items on food row to satisfy any Festival goers appetite.

Carnival
The south end of the Festival grounds is the location of the Large Carnival with many different types of rides and games to keep you busy for hours.  Each year the carnival provider has brought more and more rides and games for the community to enjoy.

Musical Entertainment
The Festival has many musical acts throughout the two day event."
Food & Hospitality,2020 Brandon Seafood Festival,Brandon,Florida,-,-,Nov 1 - Nov 1,Food & Beverage Show
Food & Hospitality,Whiskey Tampa Foxtrot,Tampa,Florida,-,-,Nov 4 - Nov 7,Food & Beverage Show
"Bike, Car & Motorcycle",Roscoes Chili Challenge 2020,Lakeland,Florida,-,-,Nov 5 - Nov 8,Motorcycle Show
"Bike, Car & Motorcycle",Lone Star Rally 2020,Galveston,Texas,-,-,Nov 5 - Nov 8,"Live Music, Bike Shows, Contests, Rides, Vendors, Military Tributes and much more.

This Texas size party is truly for those who live life wide open and ride hard.

From the furthest reaches of the USA, the Lone Star rally brings together hundreds of thousands of motorcycle loving friends to party, ride and shop. This year promises to be even bigger and better than ever before.

So, hold onto your handlebars, you?re in for the time of your life."
Food & Hospitality,"Fire, Flour & Fork Festival",Richmond,Virginia,-,-,Nov 5 - Nov 8,Food & Beverage Show
Health & Fitness,Monumental Health and Fitness Expo,Indianapolis,Indiana,"15,000",-,Nov 5 - Nov 6,"The Monumental Health and Fitness Expo promises to provide one of the best opportunities to visit vendors and exhibitors in the fitness community.

The Health and Fitness Expo is held in conjunction with the CNO Financial Indianapolis Monumental Marathon each year with an expected 15,000 participants. The Health and Fitness Expo usually hosts 40 exhibitors featuring running gear and shoes, as well as the latest developments in sports, fitness and nutrition. Speakers will cover topics like motivation, running, health and fitness.

The Monumental Health and Fitness Expo will serve as the pick-up location for Race numbers, t-shirts and Race Weekend Magazine for the participants, but is also free and open to the public."
Animal & Pets,National Peanut Festival 2020,Dothan,Alabama,-,-,Nov 6 - Nov 15,"Event Overview: The National Peanut Festival, the nation's largest peanut festival, is held in Dothan, Alabama each fall to honor local peanut farmers and to celebrate the harvest season.

Located in the southeast corner of Alabama, Dothan is known as the ""Peanut Capital of the World"" and is a prime location for growing peanuts.  In fact, if you're in Dothan you're in the heart of peanut country, considering the majority of all the peanuts grown in the United States are grown within a 100 mile radius of Dothan.

A festival honoring the peanut was inaugurated on a near freezing Thursday, November 10, 1938.  The three day event included a pageant, parade, historical play and grand ball.  The guest speaker was Dr. George Washington Carver.  Dr. Carver was a modest, unassuming man from the Tuskegee Institute who gained international fame with his development of over 300 products from the peanut.

The peanut festival was celebrated annually through 1941, but was postponed until after World War II.  In 1947, the first post-war festival was presented and has continued every year since.

Throughout its history, the festival has been held in various locations, with most of its years at the Houston County Farm Center.  The National Peanut Festival has been at its current location, the fairgrounds on US Highway 231 South, since 1999.  With over 200 acres, 2 exhibit buildings, an amphitheater, an open air arena and an Ag complex, the fairgrounds are now capable of hosting year-round events and further promoting agriculture in the Wiregrass area, in addition to hosting the yearly harvest celebration.

Today, the National Peanut Festival has grown from a three-day event in 1938, to a ten-day event with attendance in excess of 150,000 fairgoers.  Throughout those 10 days, the festival hosts numerous fun-filled, family events...amusement rides, animal attractions, agricultural displays, concerts, livestock shows and a parade.  Of course we wouldn't be the National Peanut Festival without tons of PEANUTS!

This enormous event would not be possible every year without the more than 300 volunteers who give countless hours throughout the year in order to continue the festival's success.  The local peanut farmers and the entire Wiregrass agriculture industry are to be commended for their continued dedication in giving this area a reason for celebrating such an important economic product.

-"
Animal & Pets,Aqha World Championship 2020,Oklahoma City,Oklahoma,-,-,Nov 6 - Nov 21,Horse & Pet Show
"Art, Craft & Collectibles",Colorado Country Christmas Gift Show - Denver,Denver,Colorado,"25,000",450,Nov 6 - Nov 8,Christmas show arts and crafts
"Art, Craft & Collectibles","Sugarloaf Crafts Festival Fall '20 Oaks, PA",Phoenixville,Pennsylvania,-,-,Nov 6 - Nov 8,"The Philadelphia area welcomes the Sugarloaf Craft Festival this fall! The award-winning show will be at the Greater Philadelphia Expo Center in Oaks, Pa. for a three-day engagement, bringing the best in high-quality arts, crafts and design together under one roof.

With the calendar having just turned, the holiday season will be in the air, making it the perfect time to find unique gifts for family and friends. You?ll find plenty to choose from at the Sugarloaf Craft Festival, featuring the best in local and national contemporary fine arts and crafts. More than 350 curated exhibitors will be in attendance with their work, which includes designer clothing and wearable art, jewelry, woodworking, leather handbags, fine paintings and glassware. You?ll get to meet some of the most talented artists and craftspeople in their fields ? and may even bring home a story to go with your gift or addition to your personal collection.

In addition, each Sugarloaf craft show features master craftspeople and other artisans giving live demonstrations in pottery, metal spinning, glass blowing and more. It?s a great way to see and experience the process behind your favorite crafts. You can even take part in a hands-on sculpting workshop. Middle Earth Studio?s costume theatre storytelling returns for the kids, there?ll be live modern jazz music from multiple bands. Stop by one of the food vendors for a delectable meal, or stock up on your favorite specialty nuts, pretzels, jams, cheeses, wine and more."
"Literary, Books & Writers",2020 Texas Book Festival,Austin,Texas,300,-,Nov 7 - Nov 8,"The 2020 Texas Book Festival will take place in Austin, Texas on November 7-8, 2020. The Texas Book Festival typically presents approximately 250-300 authors, from Texas and beyond, whose books are published in the year the Festival takes place. All authors who are invited to participate will be featured in a panel or solo session; the Festival does not feature authors for book signings only. Authors must be prepared to cover their own travel expenses to participate in the Festival."
Food & Hospitality,2020 Boca Raton Wine & Food Festival and Grand Tasting,Boca Raton,Florida,-,-,Nov 7 - Nov 7,Food & Beverage Show
Food & Hospitality,Northwest Chocolate Festival,Seattle,Washington,-,-,Nov 7 - Nov 8,Food & Beverage Show
Food & Hospitality,Orlando Chili Cook-Off,Orlando,Florida,-,-,Nov 7 - Nov 7,Food & Beverage Show
Food & Hospitality,2020 Vardaman Sweet Potato Festival,Vardaman,Mississippi,-,-,Nov 7 - Nov 12,Food & Beverage Show
RV & Motor Show,Tampa Bay Fall RV Show,Tampa,Florida,-,-,Nov 7 - Nov 10,RV Show
Air & Water Shows,NAS JRB New Orleans Air Show,Belle Chasse,Louisiana,-,-,Nov 7 - Nov 8,Air Show
Food & Hospitality,Savannah Food & Wine Festival 2020,Savannah,Georgia,-,-,Nov 9 - Nov 15,Food & Beverage Show
"Literary, Books & Writers",2020 ECPA Publishing University and Art of Writing Conference,Nashville,Tennessee,-,-,Nov 11 - Nov 11,Book Show
Food & Hospitality,Denver International Wine Festival 2020,Westminster,Colorado,-,-,Nov 11 - Nov 12,Food & Beverage Show
"Art, Craft & Collectibles",48th Harvest Festival Original Art & Craft Show - San Mateo 2020,San Mateo,California,"11,000",205,Nov 13 - Nov 15,"Now in our 46th year, the Harvest Festival? Original Art & Craft Show is known as one of the West Coast's premiere shows. See over 300 of the nation?s most talented artisans & shop thousands of American handmade arts & crafts. You will find beautiful wall art, sculptures, glasswork, metalwork, jewelry, clothing, specialty foods, photography, hand-turned wood, ceramics, unique home decor, and much more. The show also features demonstrating artists, live on-stage performance acts, great musical bands, strolling entertainers, as well as a KidZone area with arts, crafts, and activities for the little ones throughout the event!! We have an end-of-year Grand Prize Raffle Drawing, entries only available at the shows. Two (2) Daily 'Grab Bag' drawings for $50 in Harvey Bucks to be spent at the show; entry forms only available on our website! For more info, visit www.harvestfestival.com"
"Art, Craft & Collectibles",Colorado Country Christmas Gift Show - Colorado Springs,Colorado Springs,Colorado,"9,000",300,Nov 13 - Nov 15,"A unique shopping experience for the entire family awaits you at the show. You?ll find gift ideas, original arts and crafts, sculpture, ceramics, specialty foods, home decor, clothing, furniture, floral designs, jewelry, skin care products, antiques, candles, toys and much more.

Enjoy entertainment performed live daily from local dance studios. Celebrate the sounds of the season and get in the holiday spirit. See the entertainment schedule here.

Enjoy visiting over 250 displays located inside the Colorado Springs Event Center. Bring the whole family for a unique shopping experience, entertainment and Santa Clause! Get ready for the holidays browsing thousands of gifts and handmade items."
